country_name,income_group
Afghanistan,Low Income
Albania,Upper Middle Income
Algeria,Upper Middle Income
American Samoa,Upper Middle Income
Andorra,High Income
Angola,Lower Middle Income
Antigua and Barbuda,High Income
Argentina,Upper Middle Income
Armenia,Upper Middle Income
Aruba,High Income
Australia,High Income
Austria,High Income
Azerbaijan,Upper Middle Income
"Bahamas, The",High Income
Bahrain,High Income
Bangladesh,Lower Middle Income
Barbados,High Income
Belarus,Upper Middle Income
Belgium,High Income
Belize,Upper Middle Income
Benin,Low Income
Bermuda,High Income
Bhutan,Lower Middle Income
Bolivia,Lower Middle Income
Bosnia and Herzegovina,Upper Middle Income
Botswana,Upper Middle Income
Brazil,Upper Middle Income
Brunei Darussalam,High Income
Bulgaria,Upper Middle Income
Burkina Faso,Low Income
Burundi,Low Income
Cabo Verde,Lower Middle Income
Cambodia,Lower Middle Income
Cameroon,Lower Middle Income
Canada,High Income
Cayman Islands,High Income
Central African Republic,Low Income
Chad,Low Income
Channel Islands,High Income
Chile,High Income
China,Upper Middle Income
Colombia,Upper Middle Income
Comoros,Lower Middle Income
"Congo, Dem. Rep.",Low Income
"Congo, Rep.",Lower Middle Income
Costa Rica,Upper Middle Income
Cote d'Ivoire,Lower Middle Income
Croatia,High Income
Cuba,Upper Middle Income
Curacao,High Income
Cyprus,High Income
Czech Republic,High Income
Denmark,High Income
Djibouti,Lower Middle Income
Dominica,Upper Middle Income
Dominican Republic,Upper Middle Income
Ecuador,Upper Middle Income
"Egypt, Arab Rep.",Lower Middle Income
El Salvador,Lower Middle Income
Equatorial Guinea,Upper Middle Income
Eritrea,Low Income
Estonia,High Income
Ethiopia,Low Income
Faeroe Islands,High Income
Fiji,Upper Middle Income
Finland,High Income
France,High Income
French Polynesia,High Income
Gabon,Upper Middle Income
"Gambia, The",Low Income
Georgia,Upper Middle Income
Germany,High Income
Ghana,Lower Middle Income
Greece,High Income
Greenland,High Income
Grenada,Upper Middle Income
Guam,High Income
Guatemala,Upper Middle Income
Guinea,Low Income
Guinea-Bissau,Low Income
Guyana,Upper Middle Income
Haiti,Low Income
Honduras,Lower Middle Income
"Hong Kong SAR, China",High Income
Hungary,High Income
Iceland,High Income
India,Lower Middle Income
Indonesia,Lower Middle Income
"Iran, Islamic Rep.",Upper Middle Income
Iraq,Upper Middle Income
Ireland,High Income
Isle of Man,High Income
Israel,High Income
Italy,High Income
Jamaica,Upper Middle Income
Japan,High Income
Jordan,Upper Middle Income
Kazakhstan,Upper Middle Income
Kenya,Lower Middle Income
Kiribati,Lower Middle Income
"Korea, Dem. Rep.",Low Income
"Korea, Rep.",High Income
Kosovo,Upper Middle Income
Kuwait,High Income
Kyrgyz Republic,Lower Middle Income
Lao PDR,Lower Middle Income
Latvia,High Income
Lebanon,Upper Middle Income
Lesotho,Lower Middle Income
Liberia,Low Income
Libya,Upper Middle Income
Liechtenstein,High Income
Lithuania,High Income
Luxembourg,High Income
"Macao SAR, China",High Income
"Macedonia, FYR",Upper Middle Income
Madagascar,Low Income
Malawi,Low Income
Malaysia,Upper Middle Income
Maldives,Upper Middle Income
Mali,Low Income
Malta,High Income
Marshall Islands,Upper Middle Income
Mauritania,Lower Middle Income
Mauritius,Upper Middle Income
Mexico,Upper Middle Income
"Micronesia, Fed. Sts.",Lower Middle Income
Moldova,Lower Middle Income
Monaco,High Income
Mongolia,Lower Middle Income
Montenegro,Upper Middle Income
Morocco,Lower Middle Income
Mozambique,Low Income
Myanmar,Lower Middle Income
Namibia,Upper Middle Income
Nepal,Low Income
Netherlands,High Income
New Caledonia,High Income
New Zealand,High Income
Nicaragua,Lower Middle Income
Niger,Low Income
Nigeria,Lower Middle Income
Northern Mariana Islands,High Income
Norway,High Income
Oman,High Income
Pakistan,Lower Middle Income
Palau,High Income
Panama,High Income
Papua New Guinea,Lower Middle Income
Paraguay,Upper Middle Income
Peru,Upper Middle Income
Philippines,Lower Middle Income
Poland,High Income
Portugal,High Income
Puerto Rico,High Income
Qatar,High Income
Romania,Upper Middle Income
Russian Federation,Upper Middle Income
Rwanda,Low Income
Samoa,Upper Middle Income
San Marino,High Income
Sao Tome and Principe,Lower Middle Income
Saudi Arabia,High Income
Senegal,Lower Middle Income
Serbia,Upper Middle Income
Seychelles,High Income
Sierra Leone,Low Income
Singapore,High Income
Sint Maarten (Dutch part),High Income
Slovak Republic,High Income
Slovenia,High Income
Solomon Islands,Lower Middle Income
Somalia,Low Income
South Africa,Upper Middle Income
South Sudan,Low Income
Spain,High Income
Sri Lanka,Upper Middle Income
St. Kitts and Nevis,High Income
St. Lucia,Upper Middle Income
St. Martin (French part),High Income
St. Vincent and the Grenadines,Upper Middle Income
Sudan,Lower Middle Income
Suriname,Upper Middle Income
Swaziland,Lower Middle Income
Sweden,High Income
Switzerland,High Income
Syrian Arab Republic,Low Income
Tajikistan,Low Income
Tanzania,Low Income
Thailand,Upper Middle Income
Timor-Leste,Lower Middle Income
Togo,Low Income
Tonga,Upper Middle Income
Trinidad and Tobago,High Income
Tunisia,Lower Middle Income
Turkey,Upper Middle Income
Turkmenistan,Upper Middle Income
Turks and Caicos Islands,High Income
Tuvalu,Upper Middle Income
Uganda,Low Income
Ukraine,Lower Middle Income
United Arab Emirates,High Income
United Kingdom,High Income
United States,High Income
Uruguay,High Income
Uzbekistan,Lower Middle Income
Vanuatu,Lower Middle Income
"Venezuela, RB",Upper Middle Income
Vietnam,Lower Middle Income
Virgin Islands (U.S.),High Income
West Bank and Gaza,Lower Middle Income
"Yemen, Rep.",Low Income
Zambia,Lower Middle Income
Zimbabwe,Lower Middle Income
