country_name,region
Afghanistan,South Asia
Albania,Europe and Central Afica
Algeria,Middle East and North Africa
American Samoa,East Asia and Pacific
Andorra,Europe and Central Afica
Angola,Sub-saharan Africa
Antigua and Barbuda,Latin America and the Caribbean
Argentina,Latin America and the Caribbean
Armenia,Europe and Central Afica
Aruba,Latin America and the Caribbean
Australia,East Asia and Pacific
Austria,Europe and Central Afica
Azerbaijan,Europe and Central Afica
"Bahamas, The",Latin America and the Caribbean
Bahrain,Middle East and North Africa
Bangladesh,South Asia
Barbados,Latin America and the Caribbean
Belarus,Europe and Central Afica
Belgium,Europe and Central Afica
Belize,Latin America and the Caribbean
Benin,Sub-saharan Africa
Bermuda,North America
Bhutan,South Asia
Bolivia,Latin America and the Caribbean
Bosnia and Herzegovina,Europe and Central Afica
Botswana,Sub-saharan Africa
Brazil,Latin America and the Caribbean
Brunei Darussalam,East Asia and Pacific
Bulgaria,Europe and Central Afica
Burkina Faso,Sub-saharan Africa
Burundi,Sub-saharan Africa
Cabo Verde,Sub-saharan Africa
Cambodia,East Asia and Pacific
Cameroon,Sub-saharan Africa
Canada,North America
Cayman Islands,Latin America and the Caribbean
Central African Republic,Sub-saharan Africa
Chad,Sub-saharan Africa
Channel Islands,Europe and Central Afica
Chile,Latin America and the Caribbean
China,East Asia and Pacific
Colombia,Latin America and the Caribbean
Comoros,Sub-saharan Africa
"Congo, Dem. Rep.",Sub-saharan Africa
"Congo, Rep.",Sub-saharan Africa
Costa Rica,Latin America and the Caribbean
Cote d'Ivoire,Sub-saharan Africa
Croatia,Europe and Central Afica
Cuba,Latin America and the Caribbean
Curacao,Latin America and the Caribbean
Cyprus,Europe and Central Afica
Czech Republic,Europe and Central Afica
Denmark,Europe and Central Afica
Djibouti,Middle East and North Africa
Dominica,Latin America and the Caribbean
Dominican Republic,Latin America and the Caribbean
Ecuador,Latin America and the Caribbean
"Egypt, Arab Rep.",Middle East and North Africa
El Salvador,Latin America and the Caribbean
Equatorial Guinea,Sub-saharan Africa
Eritrea,Sub-saharan Africa
Estonia,Europe and Central Afica
Ethiopia,Sub-saharan Africa
Faeroe Islands,Europe and Central Afica
Fiji,East Asia and Pacific
Finland,Europe and Central Afica
France,Europe and Central Afica
French Polynesia,East Asia and Pacific
Gabon,Sub-saharan Africa
"Gambia, The",Sub-saharan Africa
Georgia,Europe and Central Afica
Germany,Europe and Central Afica
Ghana,Sub-saharan Africa
Greece,Europe and Central Afica
Greenland,Europe and Central Afica
Grenada,Latin America and the Caribbean
Guam,East Asia and Pacific
Guatemala,Latin America and the Caribbean
Guinea,Sub-saharan Africa
Guinea-Bissau,Sub-saharan Africa
Guyana,Latin America and the Caribbean
Haiti,Latin America and the Caribbean
Honduras,Latin America and the Caribbean
"Hong Kong SAR, China",East Asia and Pacific
Hungary,Europe and Central Afica
Iceland,Europe and Central Afica
India,South Asia
Indonesia,East Asia and Pacific
"Iran, Islamic Rep.",Middle East and North Africa
Iraq,Middle East and North Africa
Ireland,Europe and Central Afica
Isle of Man,Europe and Central Afica
Israel,Middle East and North Africa
Italy,Europe and Central Afica
Jamaica,Latin America and the Caribbean
Japan,East Asia and Pacific
Jordan,Middle East and North Africa
Kazakhstan,Europe and Central Afica
Kenya,Sub-saharan Africa
Kiribati,East Asia and Pacific
"Korea, Dem. Rep.",East Asia and Pacific
"Korea, Rep.",East Asia and Pacific
Kosovo,Europe and Central Afica
Kuwait,Middle East and North Africa
Kyrgyz Republic,Europe and Central Afica
Lao PDR,East Asia and Pacific
Latvia,Europe and Central Afica
Lebanon,Middle East and North Africa
Lesotho,Sub-saharan Africa
Liberia,Sub-saharan Africa
Libya,Middle East and North Africa
Liechtenstein,Europe and Central Afica
Lithuania,Europe and Central Afica
Luxembourg,Europe and Central Afica
"Macao SAR, China",East Asia and Pacific
"Macedonia, FYR",Europe and Central Afica
Madagascar,Sub-saharan Africa
Malawi,Sub-saharan Africa
Malaysia,East Asia and Pacific
Maldives,South Asia
Mali,Sub-saharan Africa
Malta,Middle East and North Africa
Marshall Islands,East Asia and Pacific
Mauritania,Sub-saharan Africa
Mauritius,Sub-saharan Africa
Mexico,Latin America and the Caribbean
"Micronesia, Fed. Sts.",East Asia and Pacific
Moldova,Europe and Central Afica
Monaco,Europe and Central Afica
Mongolia,East Asia and Pacific
Montenegro,Europe and Central Afica
Morocco,Middle East and North Africa
Mozambique,Sub-saharan Africa
Myanmar,East Asia and Pacific
Namibia,Sub-saharan Africa
Nepal,South Asia
Netherlands,Europe and Central Afica
New Caledonia,East Asia and Pacific
New Zealand,East Asia and Pacific
Nicaragua,Latin America and the Caribbean
Niger,Sub-saharan Africa
Nigeria,Sub-saharan Africa
Northern Mariana Islands,East Asia and Pacific
Norway,Europe and Central Afica
Oman,Middle East and North Africa
Pakistan,South Asia
Palau,East Asia and Pacific
Panama,Latin America and the Caribbean
Papua New Guinea,East Asia and Pacific
Paraguay,Latin America and the Caribbean
Peru,Latin America and the Caribbean
Philippines,East Asia and Pacific
Poland,Europe and Central Afica
Portugal,Europe and Central Afica
Puerto Rico,Latin America and the Caribbean
Qatar,Middle East and North Africa
Romania,Europe and Central Afica
Russian Federation,Europe and Central Afica
Rwanda,Sub-saharan Africa
Samoa,East Asia and Pacific
San Marino,Europe and Central Afica
Sao Tome and Principe,Sub-saharan Africa
Saudi Arabia,Middle East and North Africa
Senegal,Sub-saharan Africa
Serbia,Europe and Central Afica
Seychelles,Sub-saharan Africa
Sierra Leone,Sub-saharan Africa
Singapore,East Asia and Pacific
Sint Maarten (Dutch part),Latin America and the Caribbean
Slovak Republic,Europe and Central Afica
Slovenia,Europe and Central Afica
Solomon Islands,East Asia and Pacific
Somalia,Sub-saharan Africa
South Africa,Sub-saharan Africa
South Sudan,Sub-saharan Africa
Spain,Europe and Central Afica
Sri Lanka,South Asia
St. Kitts and Nevis,Latin America and the Caribbean
St. Lucia,Latin America and the Caribbean
St. Martin (French part),Latin America and the Caribbean
St. Vincent and the Grenadines,Latin America and the Caribbean
Sudan,Sub-saharan Africa
Suriname,Latin America and the Caribbean
Swaziland,Sub-saharan Africa
Sweden,Europe and Central Afica
Switzerland,Europe and Central Afica
Syrian Arab Republic,Middle East and North Africa
Tajikistan,Europe and Central Afica
Tanzania,Sub-saharan Africa
Thailand,East Asia and Pacific
Timor-Leste,East Asia and Pacific
Togo,Sub-saharan Africa
Tonga,East Asia and Pacific
Trinidad and Tobago,Latin America and the Caribbean
Tunisia,Middle East and North Africa
Turkey,Europe and Central Afica
Turkmenistan,Europe and Central Afica
Turks and Caicos Islands,Latin America and the Caribbean
Tuvalu,East Asia and Pacific
Uganda,Sub-saharan Africa
Ukraine,Europe and Central Afica
United Arab Emirates,Middle East and North Africa
United Kingdom,Europe and Central Afica
United States,North America
Uruguay,Latin America and the Caribbean
Uzbekistan,Europe and Central Afica
Vanuatu,East Asia and Pacific
"Venezuela, RB",Latin America and the Caribbean
Vietnam,East Asia and Pacific
Virgin Islands (U.S.),Latin America and the Caribbean
West Bank and Gaza,Middle East and North Africa
"Yemen, Rep.",Middle East and North Africa
Zambia,Sub-saharan Africa
Zimbabwe,Sub-saharan Africa
